"Segments:
V2: 7/1 Hard Launch,"Get Your Match Ball
Shop TRIONDA",Tina,,,https://www.academy.com/c/brands/adidas/adidas-sports/adidas-soccer/adidas-world-cup-gear/adidas-world-cup-soccer-balls,,,TBD,TBD,TBD,,TBD,TBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Star-Spangled Summer (GTM, AGF, OE, SF) NO CHILDREN IN THESE IMAGES PLEASE",,,,,,,,,,,,Headline + Scrolling Cards,Star Spangled Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Rep USA All Day
Patriotic Styles",Yajaira,(Shop All Patriotic softlines),https://brandfolder.com/s/wjc98vhj25v3kf7w44wpmq8k,"159854032_WHITE_0_0_0
140479324_LTBLUE08_0_0_0
159973277_NAVY_0_0_0
163257142_WHITE_0_0_0
132068381_WHITE03_0_0_0
132068381_WHTRED_0_0_0
159838471_WHITE05_0_0_0
162091291_NAVY_0_0_0
159975811_WHITE_0_0_0",,https://www.academy.com/c/shops/patriotic-gear/patriotic-clothing-shoes,,Shop patriotic styles for July 4th.,starspangled_app_patrioticstyles,,Scrolling Cards - 1,"Rep USA All Day
Patriotic Styles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Bring Fourth the Fun
Party Essentials",Bethany/Clarice,"(Turtlebox speaker, Igloo Patriotic)",PENDING BEERDALIER VIDEO,"139767548_REDWHITE_0_0_0
164534324_BLUEWHT_0_0_0
160927083_NAVY_0_0_0",,https://www.academy.com/c/shops/patriotic-gear/patriotic-sports-gear?page_1,,Shop patriotic party essentials for July 4th.,starspangled_snr_partyessentials,,Scrolling Cards - 2,"Bring Fourth the Fun
Party Essentials",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Up to
$500 OFF
Grills
[Pit Boss, Blackstone + MORE]",Bethany,6.29-7.5,Use imagery of Pit Boss Navigator https://brandfolder.com/s/gjc68jxgc4jf6s2s6gpwfxqg,160398661_0_0_0_0,,https://www.academy.com/c/outdoors/grills--outdoor-cooking/grills,,Save up to $500 on Pit Boss and more top brand grills.,starpspangled_snr_grills500d,,Scrolling Cards - 3,"Up to
$500 OFF
Grills
[Pit Boss, Blackstone + MORE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Up to
50% OFF
Sandals

[BRAND, BRAND + MORE]",Paulina ,,,,,,,,,,Scrolling Cards - 1,"Up to
50% OFF
Sandals

[BRAND, BRAND + MORE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"25% OFF
Select Men's Swimwear
[Chubbies]",Brandi,,https://brandfolder.com/s/sqrtc3cbgw9v3jbjrg7chhwt,"162329811_TURQAQUA01_0_0_0
162329634_BRORANGE01_0_0_0
162330221_BLUE_0_0_0
162330168_PINK_0_0_0
",,https://www.academy.com/c/mens/mens-apparel/mens-swimsuits?&facet=%27facet_Brand%27:%27Chubbies%27,,Save 25% on men's Chubbies swimwear.,starspangled_app_menschubbies25p,,Scrolling Cards - 4,"25% OFF
Select Men's Swimwear
[Chubbies]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hit the Mark (GTM, AGF, OE)", , ,,,,,, ,, , ,Headline + 2 Card,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Split Banner - 1,"20% OFF
Select Optics
with Promo Code VORTEX20
[VORTEX]",Melanie,,carryover WK 20,carryover WK 20,,https://www.academy.com/c/brands/brands-s-z/vortex,Close-up of hands holding binoculars with overlaid text “20% OFF SELECT OPTICS with Promo Code VORTEX20” and Vortex Optics logo.,Save 20% on select Vortex optics with promo code VORTEX20.,hitthemark_out_vortexoptics20p,,2 Card - 1,"20% OFF
Select Optics
with Promo Code VORTEX20
[VORTEX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Split Banner - 2,"Up to
$50 OFF
Select Optics
[HOLOSUN]",Melanie,,carryover WK 20,"131056098_BLACK_0_0_0
131056012_BLACK_0_0_0",,https://www.academy.com/c/outdoors/hunting/optics?&facet=%27facet_Deals%27:%27Hot%20Deal%27&facet=%27facet_Brand%27:%27Holosun%27,"Multiple compact red dot sights displayed on a surface with firearms in the background, with overlaid text “UP TO $50 OFF SELECT OPTICS” and Holosun logo.",Save up to $50 off select Holosun optics.,hitthemark_out_holosunoptics50d,,2 Card - 2,"Up to
$50 OFF
Select Optics
[HOLOSUN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
